"Notes"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"2022 Week 14 ending April 09, 2022 (provisional)"	"2022/14"	898	Not Applicable	Not Applicable
	"2022 Week 15 ending April 16, 2022 (provisional)"	"2022/15"	803	Not Applicable	Not Applicable
	"2022 Week 16 ending April 23, 2022 (provisional)"	"2022/16"	784	Not Applicable	Not Applicable
	"2022 Week 17 ending April 30, 2022 (provisional)"	"2022/17"	841	Not Applicable	Not Applicable
	"2022 Week 18 ending May 07, 2022 (provisional)"	"2022/18"	862	Not Applicable	Not Applicable
	"2022 Week 19 ending May 14, 2022 (provisional)"	"2022/19"	1039	Not Applicable	Not Applicable
	"2022 Week 20 ending May 21, 2022 (provisional)"	"2022/20"	1086	Not Applicable	Not Applicable
	"2022 Week 21 ending May 28, 2022 (provisional)"	"2022/21"	1287	Not Applicable	Not Applicable
	"2022 Week 22 ending June 04, 2022 (provisional)"	"2022/22"	1302	Not Applicable	Not Applicable
	"2022 Week 23 ending June 11, 2022 (provisional)"	"2022/23"	1388	Not Applicable	Not Applicable
	"2022 Week 24 ending June 18, 2022 (provisional)"	"2022/24"	1425	Not Applicable	Not Applicable
	"2022 Week 25 ending June 25, 2022 (provisional)"	"2022/25"	1513	Not Applicable	Not Applicable
	"2022 Week 26 ending July 02, 2022 (provisional)"	"2022/26"	1577	Not Applicable	Not Applicable
	"2022 Week 27 ending July 09, 2022 (provisional)"	"2022/27"	1700	Not Applicable	Not Applicable
	"2022 Week 28 ending July 16, 2022 (provisional)"	"2022/28"	1981	Not Applicable	Not Applicable
	"2022 Week 29 ending July 23, 2022 (provisional)"	"2022/29"	2121	Not Applicable	Not Applicable
	"2022 Week 30 ending July 30, 2022 (provisional)"	"2022/30"	2253	Not Applicable	Not Applicable
	"2022 Week 31 ending August 06, 2022 (provisional)"	"2022/31"	2239	Not Applicable	Not Applicable
	"2022 Week 32 ending August 13, 2022 (provisional)"	"2022/32"	2186	Not Applicable	Not Applicable
	"2022 Week 33 ending August 20, 2022 (provisional)"	"2022/33"	2103	Not Applicable	Not Applicable
	"2022 Week 34 ending August 27, 2022 (provisional)"	"2022/34"	1929	Not Applicable	Not Applicable
	"2022 Week 35 ending September 03, 2022 (provisional)"	"2022/35"	1854	Not Applicable	Not Applicable
	"2022 Week 36 ending September 10, 2022 (provisional)"	"2022/36"	1738	Not Applicable	Not Applicable
	"2022 Week 37 ending September 17, 2022 (provisional)"	"2022/37"	1557	Not Applicable	Not Applicable
	"2022 Week 38 ending September 24, 2022 (provisional)"	"2022/38"	1559	Not Applicable	Not Applicable
	"2022 Week 39 ending October 01, 2022 (provisional)"	"2022/39"	1483	Not Applicable	Not Applicable
	"2022 Week 40 ending October 08, 2022 (provisional)"	"2022/40"	1307	Not Applicable	Not Applicable
	"2022 Week 41 ending October 15, 2022 (provisional)"	"2022/41"	1293	Not Applicable	Not Applicable
	"2022 Week 42 ending October 22, 2022 (provisional)"	"2022/42"	1325	Not Applicable	Not Applicable
	"2022 Week 43 ending October 29, 2022 (provisional)"	"2022/43"	1326	Not Applicable	Not Applicable
	"2022 Week 44 ending November 05, 2022 (provisional)"	"2022/44"	1306	Not Applicable	Not Applicable
	"2022 Week 45 ending November 12, 2022 (provisional)"	"2022/45"	1178	Not Applicable	Not Applicable
	"2022 Week 46 ending November 19, 2022 (provisional)"	"2022/46"	1080	Not Applicable	Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Month"
"Query Parameters:"
"Title: 2018+_MMWR_COVID-19_Underlying_Cause"
"MMWR Year/Week: 2018 Week 01 ending January 06, 2018; 2018 Week 02 ending January 13, 2018; 2018 Week 03 ending January 20,"
"2018; 2018 Week 04 ending January 27, 2018; 2018 Week 05 ending February 03, 2018; 2018 Week 06 ending February 10, 2018; 2018"
"Week 07 ending February 17, 2018; 2018 Week 08 ending February 24, 2018; 2018 Week 09 ending March 03, 2018; 2018 Week 10 ending"
"March 10, 2018; 2018 Week 11 ending March 17, 2018; 2018 Week 12 ending March 24, 2018; 2018 Week 13 ending March 31, 2018; 2018"
"Week 14 ending April 07, 2018; 2018 Week 15 ending April 14, 2018; 2018 Week 16 ending April 21, 2018; 2018 Week 17 ending April"
"28, 2018; 2018 Week 18 ending May 05, 2018; 2018 Week 19 ending May 12, 2018; 2018 Week 20 ending May 19, 2018; 2018 Week 21"
"ending May 26, 2018; 2018 Week 22 ending June 02, 2018; 2018 Week 23 ending June 09, 2018; 2018 Week 24 ending June 16, 2018;"
"2018 Week 25 ending June 23, 2018; 2018 Week 26 ending June 30, 2018; 2018 Week 27 ending July 07, 2018; 2018 Week 28 ending"
"July 14, 2018; 2018 Week 29 ending July 21, 2018; 2018 Week 30 ending July 28, 2018; 2018 Week 31 ending August 04, 2018; 2018"
"Week 32 ending August 11, 2018; 2018 Week 33 ending August 18, 2018; 2018 Week 34 ending August 25, 2018; 2018 Week 35 ending"
"September 01, 2018; 2018 Week 36 ending September 08, 2018; 2018 Week 37 ending September 15, 2018; 2018 Week 38 ending"
"September 22, 2018; 2018 Week 39 ending September 29, 2018; 2018 Week 40 ending October 06, 2018; 2018 Week 41 ending October"
"13, 2018; 2018 Week 42 ending October 20, 2018; 2018 Week 43 ending October 27, 2018; 2018 Week 44 ending November 03, 2018;"
"2018 Week 45 ending November 10, 2018; 2018 Week 46 ending November 17, 2018; 2018 Week 47 ending November 24, 2018; 2018 Week"
"48 ending December 01, 2018; 2018 Week 49 ending December 08, 2018; 2018 Week 50 ending December 15, 2018; 2018 Week 51 ending"
"December 22, 2018; 2018 Week 52 ending December 29, 2018; 2019 Week 01 ending January 05, 2019; 2019 Week 02 ending January 12,"
"2019; 2019 Week 03 ending January 19, 2019; 2019 Week 04 ending January 26, 2019; 2019 Week 05 ending February 02, 2019; 2019"
"Week 06 ending February 09, 2019; 2019 Week 07 ending February 16, 2019; 2019 Week 08 ending February 23, 2019; 2019 Week 09"
"ending March 02, 2019; 2019 Week 10 ending March 09, 2019; 2019 Week 11 ending March 16, 2019; 2019 Week 12 ending March 23,"
"2019; 2019 Week 13 ending March 30, 2019; 2019 Week 14 ending April 06, 2019; 2019 Week 15 ending April 13, 2019; 2019 Week 16"
