"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2021 (provisional)"	"2021"	"New Jersey"	"34"	84032	8882371	946.053705705
	"2021 (provisional)"	"2021"	"New Mexico"	"35"	25300	2106319	1201.147594453
	"2021 (provisional)"	"2021"	"New York"	"36"	181360	19336776	937.901954286
	"2021 (provisional)"	"2021"	"North Carolina"	"37"	118093	10600823	1113.998413142
	"2021 (provisional)"	"2021"	"North Dakota"	"38"	7266	765309	949.420430179
	"2021 (provisional)"	"2021"	"Ohio"	"39"	147635	11693217	1262.569573454
	"2021 (provisional)"	"2021"	"Oklahoma"	"40"	50945	3980783	1279.773351122
	"2021 (provisional)"	"2021"	"Oregon"	"41"	44989	4241507	1060.684327528
	"2021 (provisional)"	"2021"	"Pennsylvania"	"42"	155390	12783254	1215.574688573
	"2021 (provisional)"	"2021"	"Rhode Island"	"44"	11243	1057125	1063.544992314
	"2021 (provisional)"	"2021"	"South Carolina"	"45"	65422	5218040	1253.765781788
	"2021 (provisional)"	"2021"	"South Dakota"	"46"	9185	892717	1028.881493239
	"2021 (provisional)"	"2021"	"Tennessee"	"47"	91130	6886834	1323.249551245
	"2021 (provisional)"	"2021"	"Texas"	"48"	267651	29360759	911.594281333
	"2021 (provisional)"	"2021"	"Utah"	"49"	22569	3249879	694.456624385
	"2021 (provisional)"	"2021"	"Vermont"	"50"	6877	623347	1103.237843448
	"2021 (provisional)"	"2021"	"Virginia"	"51"	85940	8590563	1000.400090192
	"2021 (provisional)"	"2021"	"Washington"	"53"	68690	7693612	892.818613676
	"2021 (provisional)"	"2021"	"West Virginia"	"54"	29503	1784787	1653.026383540
	"2021 (provisional)"	"2021"	"Wisconsin"	"55"	60973	5832655	1045.372990516
	"2021 (provisional)"	"2021"	"Wyoming"	"56"	6582	582328	1130.290832658
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Month"
"Query Parameters:"
"Title: YrResState_Deaths_Popu_CrudeRate_2018_2020+"
"Year/Month: 2018; 2019; 2020; 2021 (provisional)"
"Group By: Year; Residence State"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Sep 12, 2022 12:39:42 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2020,"
"and from provisional data for years 2021-2022, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Sep 12, 2022 12:39:42"
"AM"
"---"
Caveats:
"1. The population figures for years 2021 and 2020 are single-race estimates of the July 1 resident population, from the Vintage"
"2020 postcensal series released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series released by the Census Bureau on June 25,"
"2020. The population figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018"
"postcensal series released by the Census Bureau on June 20, 2019."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"3. Deaths occurring through August 20, 2022 as of September 04, 2022."
